P(Et | Xt)
P(t | l) = 0.0155362512529
P(f | l) = 0.00668225860341
P(w | l) = 0.000668225860341
P(m | l) = 0.000501169395256
P(y | l) = 0.00167056465085
P(k | l) = 0.00100233879051
P(_ | o) = 0.189581478183
P(c | o) = 0.0589492430988
P(i | o) = 0.0756010685663
P(f | o) = 0.0499554764025
P(w | o) = 0.0259127337489
P(r | o) = 0.0749777382012
P(h | o) = 0.0406055209261
P(l | o) = 0.046571682992
P(t | o) = 0.105342831701
P(s | o) = 0.0620658949243
P(m | o) = 0.0444345503117
P(g | o) = 0.0171861086376
P(v | o) = 0.013268032057
P(p | o) = 0.0462154942119
P(n | o) = 0.0633125556545
P(y | o) = 0.00721282279608
P(b | o) = 0.0108637577916
P(d | o) = 0.0287622439893
P(o | o) = 0.0121994657168
P(e | o) = 0.0222617987533
P(j | o) = 0.00338379341051
P(u | o) = 0.000445235975067
P(a | o) = 0.000356188780053
P(z | o) = 0.000178094390027
P(k | o) = 0.000356188780053
P(w | n) = 0.0102463483758
P(u | n) = 0.0310660562459
P(e | n) = 0.161652496185
P(o | n) = 0.196533682145
P(i | n) = 0.248419446261
P(a | n) = 0.209832134293
P(_ | n) = 0.0782646609985
P(r | n) = 0.016459559625
P(g | n) = 0.00436014824504
P(d | n) = 0.00130804447351
P(k | n) = 0.00316110747765
P(h | n) = 0.0273599302376
P(n | n) = 0.00654022236756
P(b | n) = 0.000436014824504
P(t | n) = 0.000872029649008
P(s | n) = 0.00239808153477
P(m | n) = 0.00054501853063
P(l | n) = 0.000218007412252
P(y | n) = 0.000327011118378
P(_ | q) = 0.221476510067
P(e | q) = 0.442953020134
P(c | q) = 0.0805369127517
P(i | q) = 0.208053691275
P(n | q) = 0.0268456375839
P(a | q) = 0.0201342281879
P(_ | p) = 0.477280156914
P(m | p) = 0.0941484145145
P(i | p) = 0.0169990192873
P(e | p) = 0.050670153645
P(s | p) = 0.0382477933965
P(x | p) = 0.0156914024191
P(a | p) = 0.0588427590716
P(y | p) = 0.0114416475973
P(o | p) = 0.124223602484
P(u | p) = 0.0447858777378
P(p | p) = 0.0490356325597
P(r | p) = 0.0114416475973
P(d | p) = 0.000653808434129
